date,time,weather_description,temp_in_f,dewpt_in_f,humidity_in_%,pressure,precipitation_in_inches,wind_direction,wind_speed_in_mph
2018-01-04,15:00:00,Mostly Cloudy,26°F,9°F,47%,29.71,0 in.,N,4
2018-01-04,16:00:00,Partly Cloudy,25°F,8°F,47%,29.73,0 in.,NNW,7
2018-01-04,17:00:00,Clear,21°F,5°F,49%,29.77,0 in.,N,1
2018-01-04,18:00:00,Clear,19°F,3°F,50%,29.79,0 in.,WNW,6
2018-01-04,19:00:00,Clear,18°F,4°F,53%,29.84,0 in.,WSW,1
2018-01-04,20:00:00,Clear,18°F,3°F,52%,29.85,0 in.,N,3
2018-01-04,21:00:00,Partly Cloudy,18°F,3°F,51%,29.85,0 in.,N,4
2018-01-04,22:00:00,Partly Cloudy,16°F,0°F,49%,29.88,0 in.,NW,1
2018-01-04,23:00:00,Clear,15°F,3°F,58%,29.90,0 in.,NNW,7
2018-01-05,00:00:00,Cloudy,14°F,0°F,52%,29.91,0 in.,N,2
2018-01-05,01:00:00,Cloudy,14°F,0°F,52%,29.91,0 in.,N,2
2018-01-05,02:00:00,Cloudy,14°F,0°F,52%,29.93,0 in.,NW,1
2018-01-05,03:00:00,Mostly Cloudy,14°F,-1°F,51%,29.95,0 in.,N,4
2018-01-05,04:00:00,Partly Cloudy,14°F,-1°F,50%,29.96,0 in.,N,2
2018-01-05,05:00:00,Clear,14°F,-1°F,51%,29.98,0 in.,N,1
2018-01-05,06:00:00,Clear,14°F,1°F,54%,29.99,0 in.,NNW,0
2018-01-05,07:00:00,Clear,14°F,0°F,53%,30.01,0 in.,N,1
2018-01-05,08:00:00,Clear,14°F,0°F,53%,30.04,0 in.,N,0
2018-01-05,09:00:00,Clear,16°F,1°F,51%,30.07,0 in.,N,1
2018-01-05,10:00:00,Mostly Cloudy,17°F,0°F,47%,30.09,0 in.,WNW,5
2018-01-05,11:00:00,Partly Cloudy,19°F,1°F,44%,30.10,0 in.,NNE,1
2018-01-05,12:00:00,Partly Cloudy,20°F,1°F,42%,30.08,0 in.,SSW,4
2018-01-05,13:00:00,Partly Cloudy,20°F,-1°F,39%,30.08,0 in.,SSW,1
2018-01-05,14:00:00,Clear,20°F,-2°F,37%,30.09,0 in.,N,4
2018-01-05,15:00:00,Clear,20°F,-1°F,39%,30.11,0 in.,NE,3
2018-01-05,16:00:00,Clear,18°F,-2°F,41%,30.15,0 in.,N,3
2018-01-05,17:00:00,Partly Cloudy,17°F,-2°F,43%,30.17,0 in.,N,2
2018-01-05,18:00:00,Partly Cloudy,15°F,-1°F,48%,30.19,0 in.,N,1
2018-01-05,19:00:00,Partly Cloudy,15°F,-1°F,48%,30.20,0 in.,WSW,0
2018-01-05,20:00:00,Clear,14°F,-1°F,50%,30.22,0 in.,NW,0
2018-01-05,21:00:00,Partly Cloudy,14°F,-2°F,49%,30.23,0 in.,N,0
2018-01-05,22:00:00,Mostly Cloudy,15°F,-1°F,49%,30.23,0 in.,NW,1
2018-01-05,23:00:00,Partly Cloudy,15°F,-1°F,47%,30.24,0 in.,N,3
2018-01-06,00:00:00,Mostly Cloudy,15°F,-1°F,49%,30.24,0 in.,NNW,3
2018-01-06,01:00:00,Cloudy,15°F,-2°F,46%,30.23,0 in.,NW,5
2018-01-06,02:00:00,Partly Cloudy,13°F,-3°F,49%,30.26,0 in.,WSW,0
2018-01-06,03:00:00,Clear,12°F,-3°F,51%,30.28,0 in.,NW,0
2018-01-06,04:00:00,Clear,9°F,-2°F,60%,30.29,0 in.,NW,0
2018-01-06,05:00:00,Clear,8°F,-2°F,63%,30.31,0 in.,NW,0
2018-01-06,06:00:00,Clear,11°F,-3°F,53%,30.33,0 in.,WNW,0
2018-01-06,07:00:00,Clear,10°F,-3°F,55%,30.34,0 in.,NW,0
2018-01-06,08:00:00,Clear,12°F,-2°F,53%,30.37,0 in.,N,3
2018-01-06,09:00:00,Clear,13°F,-2°F,50%,30.40,0 in.,WNW,2
2018-01-06,10:00:00,Partly Cloudy,14°F,-2°F,47%,30.41,0 in.,NNW,1
2018-01-06,11:00:00,Partly Cloudy,16°F,-1°F,46%,30.42,0 in.,NW,2
2018-01-06,12:00:00,Clear,18°F,-1°F,43%,30.41,0 in.,N,4
2018-01-06,13:00:00,Mostly Cloudy,18°F,-1°F,42%,30.39,0 in.,N,6
2018-01-06,14:00:00,Clear,19°F,-1°F,40%,30.38,0 in.,NW,6
2018-01-06,15:00:00,Clear,19°F,-1°F,41%,30.39,0 in.,E,3
2018-01-06,16:00:00,Clear,19°F,-1°F,41%,30.42,0 in.,NNW,2
2018-01-06,17:00:00,Partly Cloudy,16°F,-3°F,43%,30.44,0 in.,NNW,1
2018-01-06,18:00:00,Partly Cloudy,15°F,-2°F,45%,30.46,0 in.,WNW,1
2018-01-06,19:00:00,Partly Cloudy,14°F,-2°F,49%,30.49,0 in.,WSW,0
2018-01-06,20:00:00,Clear,14°F,-1°F,51%,30.50,0 in.,WNW,0
2018-01-06,21:00:00,Clear,14°F,-1°F,51%,30.51,0 in.,NNW,0
2018-01-06,22:00:00,Clear,13°F,-1°F,53%,30.51,0 in.,N,0
2018-01-06,23:00:00,Clear,12°F,-1°F,56%,30.52,0 in.,NW,0
2018-01-07,00:00:00,Clear,10°F,-2°F,58%,30.53,0 in.,SSE,0
2018-01-07,01:00:00,Clear,7°F,-3°F,64%,30.53,0 in.,ENE,0
2018-01-07,02:00:00,Clear,7°F,-2°F,67%,30.55,0 in.,ENE,0
2018-01-07,03:00:00,Clear,7°F,-1°F,68%,30.58,0 in.,ENE,0
2018-01-07,04:00:00,Clear,5°F,-2°F,73%,30.57,0 in.,S,0
2018-01-07,05:00:00,Clear,2°F,-3°F,80%,30.57,0 in.,SW,0
2018-01-07,06:00:00,Clear,2°F,-2°F,81%,30.58,0 in.,WNW,0
2018-01-07,07:00:00,Clear,1°F,-3°F,82%,30.60,0 in.,SW,0
2018-01-07,08:00:00,Clear,2°F,-2°F,82%,30.62,0 in.,WSW,0
2018-01-07,09:00:00,Clear,7°F,2°F,80%,30.63,0 in.,WSW,0
2018-01-07,10:00:00,Clear,13°F,4°F,65%,30.63,0 in.,WSW,0
2018-01-07,11:00:00,Clear,16°F,4°F,57%,30.60,0 in.,NW,0
2018-01-07,12:00:00,Clear,20°F,4°F,50%,30.56,0 in.,S,0
2018-01-07,13:00:00,Clear,23°F,5°F,45%,30.51,0 in.,NW,4
2018-01-07,14:00:00,Clear,26°F,4°F,39%,30.48,0 in.,SW,0
2018-01-07,15:00:00,Clear,27°F,4°F,36%,30.46,0 in.,SW,0
2018-01-07,16:00:00,Clear,27°F,4°F,36%,30.45,0 in.,WSW,1
2018-01-07,17:00:00,Clear,24°F,3°F,39%,30.45,0 in.,WSW,0
2018-01-07,18:00:00,Clear,23°F,3°F,41%,30.44,0 in.,SSW,0
2018-01-07,19:00:00,Mostly Cloudy,23°F,3°F,42%,30.43,0 in.,WSW,2
2018-01-07,20:00:00,Clear,22°F,3°F,44%,30.41,0 in.,SW,0
2018-01-07,21:00:00,Clear,20°F,3°F,47%,30.39,0 in.,SW,0
2018-01-07,22:00:00,Clear,19°F,3°F,49%,30.37,0 in.,SW,0
2018-01-07,23:00:00,Clear,20°F,7°F,56%,30.35,0 in.,SW,0
2018-01-08,00:00:00,Cloudy,19°F,8°F,62%,30.32,0 in.,SW,0
2018-01-08,01:00:00,Cloudy,20°F,6°F,55%,30.30,0 in.,WSW,0
2018-01-08,02:00:00,Clear,18°F,8°F,64%,30.28,0 in.,WSW,0
2018-01-08,03:00:00,Mostly Cloudy,17°F,8°F,66%,30.26,0 in.,WSW,0
2018-01-08,04:00:00,Partly Cloudy,16°F,8°F,70%,30.24,0 in.,WSW,0
2018-01-08,05:00:00,Mostly Cloudy,17°F,10°F,73%,30.21,0 in.,W,0
2018-01-08,06:00:00,Clear,18°F,11°F,74%,30.21,0 in.,W,0
2018-01-08,07:00:00,Partly Cloudy,17°F,10°F,75%,30.20,0 in.,W,0
2018-01-08,08:00:00,Mostly Cloudy,18°F,12°F,76%,30.19,0 in.,W,0
2018-01-08,09:00:00,Mostly Cloudy,22°F,11°F,62%,30.19,0 in.,NNE,0
2018-01-08,10:00:00,Partly Cloudy,25°F,12°F,57%,30.19,0 in.,NNE,0
2018-01-08,11:00:00,Mostly Cloudy,27°F,13°F,54%,30.18,0 in.,NNW,0
2018-01-08,12:00:00,Cloudy,29°F,13°F,50%,30.17,0 in.,WNW,1
2018-01-08,13:00:00,Cloudy,28°F,20°F,71%,30.15,0 in.,NW,1
2018-01-08,14:00:00,Cloudy,28°F,23°F,80%,30.12,0.01 in.,NW,1
2018-01-08,15:00:00,Cloudy,31°F,25°F,79%,30.11,0 in.,W,0
2018-01-08,16:00:00,Cloudy,32°F,26°F,78%,30.11,0 in.,WSW,0
2018-01-08,17:00:00,Cloudy,31°F,26°F,82%,30.10,0 in.,WSW,0
2018-01-08,18:00:00,Cloudy,31°F,27°F,86%,30.09,0 in.,WSW,0
2018-01-08,19:00:00,Partly Cloudy,31°F,27°F,86%,30.09,0 in.,WSW,0
2018-01-08,20:00:00,Cloudy,31°F,28°F,87%,30.09,0 in.,WSW,0
2018-01-08,21:00:00,Cloudy,32°F,29°F,88%,30.09,0 in.,WSW,0
2018-01-08,22:00:00,Cloudy,31°F,29°F,91%,30.07,0 in.,W,0
2018-01-08,23:00:00,Clear,30°F,28°F,93%,30.07,0 in.,WNW,1
2018-01-09,00:00:00,Cloudy,29°F,27°F,92%,30.07,0 in.,NW,0
2018-01-09,01:00:00,Cloudy,28°F,26°F,93%,30.08,0 in.,W,0
2018-01-09,02:00:00,Clear,26°F,24°F,94%,30.09,0 in.,W,0
2018-01-09,03:00:00,Clear,25°F,24°F,95%,30.11,0 in.,W,0
2018-01-11,22:00:00,Cloudy,54°F,54°F,99%,30.08,0 in.,NW,0
2018-01-11,23:00:00,Cloudy,54°F,54°F,99%,30.08,0 in.,WSW,0
2018-01-12,00:00:00,Cloudy,53°F,53°F,99%,30.04,0 in.,W,0
2018-01-12,01:00:00,Cloudy,53°F,53°F,99%,29.99,0 in.,SW,0
2018-01-12,02:00:00,Cloudy,54°F,54°F,100%,29.93,0 in.,S,0
2018-01-12,03:00:00,Cloudy,58°F,58°F,100%,29.89,0 in.,WSW,0
2018-01-12,04:00:00,Cloudy,61°F,61°F,100%,29.88,0 in.,WSW,1
2018-01-12,05:00:00,Cloudy,62°F,62°F,100%,29.85,0 in.,SW,2
2018-01-12,06:00:00,Cloudy,63°F,63°F,100%,29.85,0 in.,SW,3
2018-01-12,07:00:00,Cloudy,64°F,64°F,100%,29.83,0 in.,SSW,2
2018-01-12,08:00:00,Cloudy,64°F,64°F,99%,29.82,0 in.,SW,4
2018-01-12,09:00:00,Cloudy,64°F,64°F,98%,29.81,0 in.,WSW,3
2018-01-12,10:00:00,Cloudy,65°F,64°F,97%,29.81,0 in.,SW,4
2018-01-12,11:00:00,Cloudy,65°F,64°F,96%,29.78,0 in.,SSW,2
2018-01-12,12:00:00,Cloudy,67°F,65°F,92%,29.74,0 in.,SW,3
2018-01-12,13:00:00,Cloudy,68°F,65°F,89%,29.71,0 in.,SW,3
2018-01-12,14:00:00,Mostly Cloudy,68°F,65°F,89%,29.67,0 in.,SSW,4
2018-01-12,15:00:00,Partly Cloudy,68°F,65°F,91%,29.65,0 in.,SSE,4
2018-01-12,16:00:00,Mostly Cloudy,67°F,65°F,94%,29.63,0 in.,SSW,0
2018-01-12,17:00:00,Cloudy,66°F,65°F,95%,29.60,0 in.,SSW,1
2018-01-12,18:00:00,Cloudy,65°F,64°F,97%,29.58,0.22 in.,WNW,0
2018-01-12,19:00:00,Cloudy,64°F,64°F,98%,29.58,0.03 in.,SW,2
2018-01-12,20:00:00,Cloudy,62°F,62°F,98%,29.56,0.05 in.,SW,0
2018-01-12,21:00:00,Cloudy,61°F,61°F,99%,29.52,0.02 in.,WSW,0
2018-01-12,22:00:00,Mostly Cloudy,61°F,61°F,99%,29.47,0 in.,SSW,0
2018-01-12,23:00:00,Cloudy,60°F,60°F,100%,29.46,0.21 in.,SW,0
2018-01-13,00:00:00,Cloudy,60°F,60°F,100%,29.44,0.12 in.,SW,0
2018-01-13,01:00:00,Cloudy,55°F,53°F,94%,29.41,0.2 in.,N,3
2018-01-13,02:00:00,Partly Cloudy,50°F,49°F,96%,29.45,0 in.,ESE,0
2018-01-13,03:00:00,Mostly Cloudy,47°F,46°F,95%,29.50,0.01 in.,NE,1
2018-01-13,04:00:00,Cloudy,46°F,42°F,87%,29.57,0 in.,NNW,2
2018-01-13,05:00:00,Cloudy,45°F,40°F,84%,29.62,0 in.,WSW,0
2018-01-13,06:00:00,Cloudy,39°F,33°F,79%,29.73,0 in.,NW,0
2018-01-13,07:00:00,Cloudy,35°F,29°F,78%,29.81,0 in.,NW,0
2018-01-13,08:00:00,Cloudy,34°F,27°F,74%,29.88,0 in.,NNW,1
2018-01-13,09:00:00,Partly Cloudy,34°F,25°F,69%,29.94,0 in.,ENE,1
2018-01-13,10:00:00,Cloudy,32°F,24°F,72%,29.99,0 in.,N,5
2018-01-13,11:00:00,Partly Cloudy,32°F,22°F,67%,30.02,0 in.,NW,0
2018-01-13,12:00:00,Partly Cloudy,34°F,24°F,66%,30.05,0 in.,NE,3
2018-01-13,13:00:00,Partly Cloudy,36°F,24°F,61%,30.06,0 in.,ENE,3
2018-01-13,14:00:00,Clear,37°F,23°F,57%,30.09,0 in.,E,0
2018-01-13,15:00:00,Partly Cloudy,36°F,20°F,51%,30.14,0 in.,NW,1
2018-01-13,16:00:00,Mostly Cloudy,35°F,19°F,51%,30.18,0 in.,NNE,2
2018-01-13,17:00:00,Clear,30°F,15°F,53%,30.22,0 in.,N,0
2018-01-13,18:00:00,Clear,28°F,13°F,52%,30.25,0 in.,ENE,1
2018-01-13,19:00:00,Clear,26°F,13°F,57%,30.30,0 in.,NE,0
2018-01-13,20:00:00,Clear,24°F,13°F,62%,30.35,0 in.,ENE,1
2018-01-13,21:00:00,Clear,22°F,12°F,64%,30.39,0 in.,N,0
2018-01-13,22:00:00,Clear,22°F,12°F,64%,30.42,0 in.,N,0
2018-01-13,23:00:00,Clear,21°F,10°F,63%,30.45,0 in.,NE,1
2018-01-14,00:00:00,Clear,20°F,10°F,64%,30.47,0 in.,N,0
2018-01-14,01:00:00,Partly Cloudy,20°F,10°F,64%,30.48,0 in.,NNW,0
2018-01-14,02:00:00,Clear,19°F,9°F,65%,30.51,0 in.,NNE,3
2018-01-14,03:00:00,Clear,18°F,8°F,65%,30.52,0 in.,NNE,2
2018-01-14,04:00:00,Clear,18°F,8°F,64%,30.52,0 in.,NNE,4
2018-01-14,05:00:00,Clear,17°F,7°F,64%,30.54,0 in.,NNE,1
2018-01-14,06:00:00,Clear,17°F,6°F,62%,30.56,0 in.,NW,0
2018-01-14,07:00:00,Clear,16°F,6°F,64%,30.58,0 in.,NNE,0
2018-01-14,08:00:00,Clear,16°F,7°F,66%,30.61,0 in.,NNW,2
2018-01-14,09:00:00,Clear,18°F,8°F,64%,30.64,0 in.,E,1
2018-01-14,10:00:00,Clear,20°F,8°F,60%,30.66,0 in.,NNE,5
2018-01-14,11:00:00,Clear,22°F,10°F,60%,30.64,0 in.,N,3
2018-01-14,12:00:00,Clear,23°F,10°F,57%,30.61,0 in.,NE,3
2018-01-14,13:00:00,Clear,25°F,10°F,52%,30.59,0 in.,ENE,2
2018-01-14,14:00:00,Clear,26°F,8°F,46%,30.58,0 in.,NE,3
2018-01-14,15:00:00,Clear,26°F,8°F,46%,30.58,0 in.,E,2
2018-01-14,16:00:00,Clear,26°F,9°F,47%,30.57,0 in.,NNE,3
2018-01-14,17:00:00,Clear,23°F,8°F,51%,30.58,0 in.,E,0
2018-01-14,18:00:00,Clear,22°F,8°F,54%,30.58,0 in.,N,0
2018-01-14,19:00:00,Clear,19°F,9°F,63%,30.60,0 in.,N,0
2018-01-14,20:00:00,Clear,18°F,11°F,73%,30.59,0 in.,N,0
2018-01-14,21:00:00,Clear,18°F,11°F,75%,30.61,0 in.,N,0
2018-01-14,22:00:00,Clear,17°F,8°F,68%,30.60,0 in.,N,0
2018-01-14,23:00:00,Clear,17°F,9°F,70%,30.60,0 in.,ESE,0
2018-01-15,00:00:00,Clear,16°F,7°F,66%,30.60,0 in.,ESE,0
2018-01-15,01:00:00,Clear,14°F,7°F,73%,30.58,0 in.,ESE,0
2018-01-15,02:00:00,Clear,13°F,7°F,77%,30.58,0 in.,ESE,0
2018-01-15,03:00:00,Clear,12°F,7°F,81%,30.57,0 in.,ESE,0
2018-01-15,04:00:00,Clear,11°F,7°F,84%,30.56,0 in.,NW,0
2018-01-15,05:00:00,Clear,10°F,6°F,85%,30.55,0 in.,NW,0
2018-01-15,06:00:00,Clear,10°F,7°F,86%,30.55,0 in.,NW,0
2018-01-15,07:00:00,Clear,9°F,6°F,86%,30.55,0 in.,NNW,0
2018-01-15,08:00:00,Clear,10°F,7°F,88%,30.55,0 in.,NNW,0
2018-01-15,09:00:00,Clear,16°F,12°F,83%,30.57,0 in.,NW,0
2018-01-15,10:00:00,Clear,21°F,13°F,71%,30.58,0 in.,ENE,0
2018-01-15,11:00:00,Clear,23°F,12°F,61%,30.56,0 in.,SSE,0
2018-01-15,12:00:00,Mostly Cloudy,25°F,13°F,59%,30.52,0 in.,SE,0
2018-01-15,13:00:00,Cloudy,27°F,15°F,59%,30.46,0 in.,ESE,0
2018-01-15,14:00:00,Clear,31°F,18°F,57%,30.43,0 in.,WSW,0
2018-01-15,15:00:00,Clear,32°F,18°F,55%,30.42,0 in.,SSW,0
2018-01-15,16:00:00,Clear,33°F,17°F,52%,30.43,0 in.,WSW,0
2018-01-15,17:00:00,Clear,30°F,16°F,56%,30.44,0 in.,SSW,0
2018-01-15,18:00:00,Clear,27°F,15°F,61%,30.44,0 in.,SSW,0
2018-01-15,19:00:00,Clear,26°F,16°F,66%,30.45,0 in.,SW,0
2018-01-15,20:00:00,Clear,24°F,17°F,74%,30.45,0 in.,SW,0
2018-01-15,21:00:00,Clear,23°F,18°F,81%,30.44,0 in.,SW,0
2018-01-15,22:00:00,Cloudy,24°F,19°F,79%,30.44,0 in.,SW,0
2018-01-15,23:00:00,Cloudy,25°F,19°F,78%,30.44,0 in.,SW,0
2018-01-16,00:00:00,Mostly Cloudy,25°F,19°F,79%,30.42,0 in.,SW,0
2018-01-16,01:00:00,Clear,25°F,20°F,81%,30.41,0 in.,SW,0
2018-01-16,02:00:00,Clear,24°F,19°F,82%,30.41,0 in.,SW,0
2018-01-16,03:00:00,Clear,24°F,20°F,83%,30.40,0 in.,SW,0
2018-01-16,04:00:00,Partly Cloudy,24°F,20°F,86%,30.39,0 in.,SW,0
2018-01-16,05:00:00,Clear,24°F,20°F,86%,30.40,0 in.,SW,0
2018-01-16,06:00:00,Mostly Cloudy,24°F,20°F,86%,30.42,0 in.,W,0
2018-01-16,07:00:00,Cloudy,23°F,20°F,89%,30.41,0 in.,W,0
2018-01-16,08:00:00,Cloudy,23°F,20°F,90%,30.42,0 in.,W,0
2018-01-16,09:00:00,Cloudy,26°F,24°F,91%,30.44,0 in.,SSW,0
2018-01-16,10:00:00,Cloudy,28°F,24°F,86%,30.44,0 in.,SSE,0
2018-01-16,11:00:00,Cloudy,31°F,26°F,82%,30.42,0 in.,SSE,0
2018-01-16,12:00:00,Mostly Cloudy,34°F,26°F,73%,30.40,0 in.,SW,0
2018-01-16,13:00:00,Cloudy,36°F,27°F,69%,30.36,0 in.,SSE,0
2018-01-16,14:00:00,Cloudy,38°F,27°F,63%,30.33,0 in.,ESE,2
2018-01-16,15:00:00,Cloudy,39°F,26°F,60%,30.32,0 in.,SE,0
2018-01-16,16:00:00,Mostly Cloudy,39°F,26°F,60%,30.32,0 in.,SE,0
2018-01-16,17:00:00,Mostly Cloudy,37°F,25°F,62%,30.32,0 in.,SE,0
2018-01-16,18:00:00,Cloudy,34°F,26°F,71%,30.32,0 in.,SE,0
2018-01-16,19:00:00,Cloudy,33°F,26°F,75%,30.32,0 in.,SE,0
